KPI ID;KPI Alias;KPI Title;Unit;Description
LTE_5239a;Cell Avail excl BLU;E-UTRAN Cell Availability, excluding blocked by user state (BLU);%;"This KPI shows Cell Availability, excluding blocked by user state (BLU)"" that gives the percent of available time over time that should be available."
LTE_1072a;RACH stp att;E-UTRAN RACH Setup Attempts;[#];Number of RACH setup attempts in E-UTRAN
LTE_5569a;RACH Stp Completion SR;E-UTRAN RACH Setup Completion Success Rate;%;This KPI shows the ratio between the number of RACH setup completions and the number of all RACH Attempts
LTE_753c;RRC stp att;RRC Setup Attempts;[#];The number of RRC Setup Attempts.
LTE_753c;RRC STP ATT;RRC Setup Attempts;[#];The number of RRC Setup Attempts.
LTE_5218f;Total E-UTRAN RRC conn stp SR;Total E-UTRAN RRC Connection Setup Success Ratio;%;"The KPI shows the setup success ratio for the elementary procedure ""RRC connection establishment"" used to set up a radio connection from UE to eNB (involves SRB1 establishment)."
LTE_5218g;Total E-UTRAN RRC conn stp SR.1;Total E-UTRAN RRC Connection Setup Success Ratio;%;"The KPI shows the setup success ratio for the elementary procedure ""RRC connection establishment"" used to set up a radio connection from UE to eNB (involves SRB1 establishment)."
LTE_5116a;E-UTRAN Data Radio Bearer Attempts;E-UTRAN Data Radio Bearer Attempts;[#];The KPI shows the Data Radio Bearer Attempts.
LTE_5117b;E-UTRAN Radio Bearer Success Ratio;E-UTRAN Radio Bearer Success Ratio;%;he KPI shows the Radio Bearer Success Ratio given as 100 - Radio Bearer Drop Ratio.
LTE_5003a;Data RB stp SR;E-UTRAN Data Radio Bearer Setup Success Ratio;%;"The KPI shows the setup success ratio for the data radio bearer setup procedure. The elementary procedure ""RRC connection reconfiguration"" is used in this context to setup a user plane (data) radio bearer."
LTE_5118a;E-UTRAN E-RAB Setup Attempts;E-UTRAN E-RAB Setup Attempts;[#];The KPI describes the number of E-RAB Setup Attempts.
LTE_5017a;E-UTRAN E-RAB stp SR;E-UTRAN E-RAB Setup Success Ratio;%;The KPI describes the setup success ratio of the elementary E-RAB setup procedure used to setup the E-RAB between MME and UE.
LTE_5123a;Intra HO preps;E-UTRAN HO Preparations, intra eNB;[#];Intra HO preps
LTE_5123b;E-UTRAN HO Preparations, intra eNB;E-UTRAN HO Preparations, intra eNB;[#];This KPI shows the total number of intra eNB HO preparations.
LTE_5126a;Inter X2 based HO prep;E-UTRAN HO Preparation, inter eNB X2 based;[#];This KPI shows the numbe rof inter eNB X2 based HO preparations.
LTE_5043b;Intra eNB HO SR total;E-UTRAN Total HO Success Ratio, intra eNB;%;This KPI describes the total intra eNB HO Success Ratio from HO preparation start until successful HO execution.
LTE_5058b;Inter eNB E-UTRAN tot HO SR X2;E-UTRAN Total HO Success Ratio, inter eNB X2 based;[#];This KPI describes the total inter eNB HO Success Ratio from the HO preparation start until the successful HO execution.
LTE_5240a;E-UTRAN HP att, inter eNB S1;E-UTRAN HO Attempts, inter eNB S1 based;[#];E-UTRAN HO Attempts, inter eNB S1 based
LTE_5078a;E-UTRAN HO Prep SR, inter eNB S1;E-UTRAN HO Preparation Success Ratio, inter eNB S1 based;%;This KPI describes the success ratio for the inter eNB S1 based handover preparation phase, when the source eNB attempts to prepare resources and finally starts to attempt the handover to a neighboring cell in a target eNB.
LTE_1078a;Inter-freq HO att;Number of Inter Frequency Handover attempts;[#];The number of intra LTE inter-frequency Handover attempts. It comprises the intra and inter eNB.
LTE_5114a;E-UTRAN Inter-Freq HO SR;E-UTRAN Inter-Frequency HO Success Ratio;%;This KPI describes the success ratio for the inter-frequency HO, when the source eNB receives information that the UE successfully is connected to the target cell within target eNB. The KPI is defined independent of the network topology (intra eNB HO / inter eNB HO) and of the usage of measurement gaps.
